file,ground_truth,extracted_text,similarity,exact_match
0000.png,muito,muito,"1,00",True
0001.png,se,se,"1,00",True
0002.png,discute,discute,"1,00",True
0003.png,a,a,"1,00",True
0004.png,importância,importància,"0,91",False
0005.png,da,da,"1,00",True
0006.png,cultura,cultura,"1,00",True
0007.png,de,de,"1,00",True
0008.png,um,um,"1,00",True
0009.png,"país,",pàis,"0,44",False
0010.png,afinal,afinal,"1,00",True
0011.png,essa,essa,"1,00",True
0012.png,é,e,"0,00",False
0013.png,a,,"0,00",False
0014.png,essência,essència,"0,88",False
0015.png,de,ode,"0,80",False
0016.png,cada,cada,"1,00",True
0017.png,um,⎛⎝ 𝓼𝓮𝓽𝓽𝓲𝓷𝓰 𝓪 𝓬𝓸𝓶𝓹𝓶𝓪𝓷𝔂 𝓽𝓪𝓷𝓰𝓮𝓷𝓽 𝓲𝓭𝓮𝓪𝓬𝓽𝓲𝓷𝓰 𝓣𝓱𝓮𝓸𝓻𝔂 ⎠⎞,"0,00",False
0018.png,deles.,deles.,"1,00",True
0019.png,a,a,"1,00",True
0020.png,democratização,democratização,"1,00",True
0021.png,da,da,"1,00",True
0022.png,cultura,cultura,"1,00",True
0023.png,de,de,"1,00",True
0024.png,uma,um d,"0,57",False
0025.png,nação,nação,"1,00",True
0026.png,é,e,"0,00",False
0027.png,oque,oque,"1,00",True
0028.png,os,os,"1,00",True
0029.png,torna,torna,"1,00",True
0030.png,"único,","único,","1,00",True
0031.png,e,e,"1,00",True
0032.png,atrativo,atrativo,"1,00",True
0033.png,para,para,"1,00",True
0034.png,turistas.,turistas.,"1,00",True
0035.png,igualar,iguaran,"0,71",False
0036.png,culturas,culturas,"1,00",True
0037.png,em,e.m,"0,80",False
0038.png,um,um,"1,00",True
0039.png,país,pais,"0,75",False
0040.png,tão,tāo,"0,67",False
0041.png,"missigenado,",missigenado,"0,96",False
0042.png,deveria,deveria.,"0,93",False
0043.png,ser,ser,"1,00",True
0044.png,uma,um d,"0,57",False
0045.png,tarefa,tare fa,"0,92",False
0046.png,simples,simples,"1,00",True
0047.png,já,a',"0,00",False
0048.png,que,que,"1,00",True
0049.png,convivemos,convivemos,"1,00",True
0050.png,com,com,"1,00",True
0051.png,tantas,tantas,"1,00",True
0052.png,pessoas,pessoas,"1,00",True
0053.png,diferentes,diferentes,"1,00",True
0054.png,em,e ro,"0,33",False
0055.png,nossa,nossa,"1,00",True
