file,ground_truth,extracted_text,precision,recall,f1,exact_match_char,elapsed
0000.png,muito,muito,"1,00","1,00","1,00",True,"1,40"
0001.png,se,se,"1,00","1,00","1,00",True,"1,27"
0002.png,discute,discute,"1,00","1,00","1,00",True,"1,23"
0003.png,a,,"0,00","0,00","0,00",False,"1,32"
0004.png,importância,importânci d,"0,83","0,91","0,87",False,"1,23"
0005.png,da,da,"1,00","1,00","1,00",True,"1,19"
0006.png,cultura,cultura,"1,00","1,00","1,00",True,"1,19"
0007.png,de,de,"1,00","1,00","1,00",True,"1,44"
0008.png,um,um,"1,00","1,00","1,00",True,"2,81"
0009.png,"país,",páis,"0,50","0,40","0,44",False,"0,93"
0010.png,afinal,afinal,"1,00","1,00","1,00",True,"5,84"
0011.png,essa,essa,"1,00","1,00","1,00",True,"1,05"
0012.png,é,,"0,00","0,00","0,00",False,"1,79"
0013.png,a,,"0,00","0,00","0,00",False,"1,04"
0014.png,essência,essência,"1,00","1,00","1,00",True,"1,08"
0015.png,de,de,"1,00","1,00","1,00",True,"5,52"
0016.png,cada,cada,"1,00","1,00","1,00",True,"1,84"
0017.png,um,sim,"0,33","0,50","0,40",False,"1,18"
0018.png,deles.,deles.,"1,00","1,00","1,00",True,"1,53"
0019.png,a,,"0,00","0,00","0,00",False,"1,78"
0020.png,democratização,democratização,"1,00","1,00","1,00",True,"1,33"
0021.png,da,da,"1,00","1,00","1,00",True,"1,36"
0022.png,cultura,cultura,"1,00","1,00","1,00",True,"1,12"
0023.png,de,de,"1,00","1,00","1,00",True,"1,20"
0024.png,uma,uma d,"0,60","1,00","0,75",False,"2,97"
0025.png,nação,nação,"1,00","1,00","1,00",True,"1,08"
0026.png,é,,"0,00","0,00","0,00",False,"1,33"
0027.png,oque,o que,"0,80","1,00","0,89",False,"1,03"
0028.png,os,os,"1,00","1,00","1,00",True,"1,07"
0029.png,torna,torna,"1,00","1,00","1,00",True,"0,88"
0030.png,"único,","único,","1,00","1,00","1,00",True,"1,51"
